กรุงเทพมหานคร ,ประเภทบ้านเดี่ยว ,7500 ,
กรุงเทพมหานคร ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7450 ,
กรุงเทพมหานคร ,ประเภทห้องแถว ,7200 ,
กรุงเทพมหานคร ,ประเภทตึกแถว ,7600 ,
กรุงเทพมหานคร ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5500 ,
กรุงเทพมหานคร ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3400 ,
กรุงเทพมหานคร ,สถานศึกษา ,7500 ,
กรุงเทพมหานคร ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9500 ,
กรุงเทพมหานคร ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9800 ,
กรุงเทพมหานคร ,โรงมหรสพ ,7850 ,
กรุงเทพมหานคร ,สถานพยาบาล ,9200 ,
กรุงเทพมหานคร ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7400 ,
กรุงเทพมหานคร ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8600 ,
กรุงเทพมหานคร ,ภัตตาคาร  ,6750 ,
กรุงเทพมหานคร ,ห้างสรรพสินค้า ,9350 ,
กรุงเทพมหานคร ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7750 ,
กรุงเทพมหานคร ,สถานีบริการน้ำมันเชื้อเพลิง ,5400 , พื้นที่อาคารและบริเวณหัวจ่าย
กรุงเทพมหานคร ,โรงงาน ,6000 ,
กรุงเทพมหานคร ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3550 , พื้นที่ของแต่ละอาคาร
กรุงเทพมหานคร ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3800 , พื้นที่ของแต่ละอาคาร
กรุงเทพมหานคร ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,9150 ,
กรุงเทพมหานคร ,โรงงานซ่อมรถยนต์ ,5650 ,
กระบี่ ,ประเภทบ้านเดี่ยว ,7250 ,
กระบี่ ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7550 ,
กระบี่ ,ประเภทห้องแถว ,7200 ,
กระบี่ ,ประเภทตึกแถว ,8100 ,
กระบี่ ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5800 ,
กระบี่ ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3600 ,
กระบี่ ,สถานศึกษา ,7650 ,
กระบี่ ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9750 ,
กระบี่ ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,10500 ,
กระบี่ ,โรงมหรสพ ,8300 ,
กระบี่ ,สถานพยาบาล ,9600 ,
กระบี่ ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7600 ,
กระบี่ ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9000 ,
กระบี่ ,ภัตตาคาร  ,7050 ,
กระบี่ ,ห้างสรรพสินค้า ,9650 ,
กระบี่ ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,8300 ,
กระบี่ ,สถานีบริการน้ำมันเชื้อเพลิง ,5650 , พื้นที่อาคารและบริเวณหัวจ่าย
กระบี่ ,โรงงาน ,6300 ,
กระบี่ ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3750 , พื้นที่ของแต่ละอาคาร
กระบี่ ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3950 , พื้นที่ของแต่ละอาคาร
กระบี่ ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,9100 ,
กระบี่ ,โรงงานซ่อมรถยนต์ ,5800 ,
กาญจนบุรี ,ประเภทบ้านเดี่ยว ,6600 ,
กาญจนบุรี ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,6600 ,
กาญจนบุรี ,ประเภทห้องแถว ,6400 ,
กาญจนบุรี ,ประเภทตึกแถว ,7400 ,
กาญจนบุรี ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5350 ,
กาญจนบุรี ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3350 ,
กาญจนบุรี ,สถานศึกษา ,6900 ,
กาญจนบุรี ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9750 ,
กาญจนบุรี ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9900 ,
กาญจนบุรี ,โรงมหรสพ ,7700 ,
กาญจนบุรี ,สถานพยาบาล ,9350 ,
กาญจนบุรี ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,6900 ,
กาญจนบุรี ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9000 ,
กาญจนบุรี ,ภัตตาคาร  ,6350 ,
กาญจนบุรี ,ห้างสรรพสินค้า ,9150 ,
กาญจนบุรี ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7700 ,
กาญจนบุรี ,สถานีบริการน้ำมันเชื้อเพลิง ,5000 , พื้นที่อาคารและบริเวณหัวจ่าย
กาญจนบุรี ,โรงงาน ,5500 ,
กาญจนบุรี ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3450 , พื้นที่ของแต่ละอาคาร
กาญจนบุรี ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3700 , พื้นที่ของแต่ละอาคาร
กาญจนบุรี ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8450 ,
กาญจนบุรี ,โรงงานซ่อมรถยนต์ ,5500 ,
กาฬสินธุ์ ,ประเภทบ้านเดี่ยว ,6950 ,
กาฬสินธุ์ ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7200 ,
กาฬสินธุ์ ,ประเภทห้องแถว ,6500 ,
กาฬสินธุ์ ,ประเภทตึกแถว ,7900 ,
กาฬสินธุ์ ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5700 ,
กาฬสินธุ์ ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3400 ,
กาฬสินธุ์ ,สถานศึกษา ,7300 ,
กาฬสินธุ์ ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9550 ,
กาฬสินธุ์ ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,10500 ,
กาฬสินธุ์ ,โรงมหรสพ ,7950 ,
กาฬสินธุ์ ,สถานพยาบาล ,9350 ,
กาฬสินธุ์ ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7600 ,
กาฬสินธุ์ ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8750 ,
กาฬสินธุ์ ,ภัตตาคาร  ,6900 ,
กาฬสินธุ์ ,ห้างสรรพสินค้า ,9350 ,
กาฬสินธุ์ ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,8100 ,
กาฬสินธุ์ ,สถานีบริการน้ำมันเชื้อเพลิง ,5300 , พื้นที่อาคารและบริเวณหัวจ่าย
กาฬสินธุ์ ,โรงงาน ,5700 ,
กาฬสินธุ์ ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3500 , พื้นที่ของแต่ละอาคาร
กาฬสินธุ์ ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3850 , พื้นที่ของแต่ละอาคาร
กาฬสินธุ์ ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,9000 ,
กาฬสินธุ์ ,โรงงานซ่อมรถยนต์ ,5450 ,
กำแพงเพชร ,ประเภทบ้านเดี่ยว ,6500 ,
กำแพงเพชร ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,6450 ,
กำแพงเพชร ,ประเภทห้องแถว ,6450 ,
กำแพงเพชร ,ประเภทตึกแถว ,6900 ,
กำแพงเพชร ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5200 ,
กำแพงเพชร ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3150 ,
กำแพงเพชร ,สถานศึกษา ,6550 ,
กำแพงเพชร ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9000 ,
กำแพงเพชร ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9400 ,
กำแพงเพชร ,โรงมหรสพ ,7150 ,
กำแพงเพชร ,สถานพยาบาล ,8600 ,
กำแพงเพชร ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,6850 ,
กำแพงเพชร ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8100 ,
กำแพงเพชร ,ภัตตาคาร  ,6250 ,
กำแพงเพชร ,ห้างสรรพสินค้า ,8800 ,
กำแพงเพชร ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7450 ,
กำแพงเพชร ,สถานีบริการน้ำมันเชื้อเพลิง ,5050 , พื้นที่อาคารและบริเวณหัวจ่าย
กำแพงเพชร ,โรงงาน ,5450 ,
กำแพงเพชร ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3350 , พื้นที่ของแต่ละอาคาร
กำแพงเพชร ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3500 , พื้นที่ของแต่ละอาคาร
กำแพงเพชร ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8300 ,
กำแพงเพชร ,โรงงานซ่อมรถยนต์ ,5050 ,
ขอนแก่น ,ประเภทบ้านเดี่ยว ,6850 ,
